patient_id,name,address,admittedDate,bedID,bloodType,dob,duration,gender,primaryPhysician,ssn
88,Anthony Fry,"105 Mitchell Turnpike
New Kylieville, MH 25630",2023-02-19,3,B-,1937-10-21,2,Female,John Hatfield,088-00-1088
19,Rachel York,"192 Bennett Vista Suite 193
North Nicoleton, MI 92734",2023-11-14,64,O+,1939-09-21,28,Male,Jonathan Griffin,019-00-1019
39,David Dickson,"623 Barrera Parkways Suite 471
East Sarahside, FM 33926",2022-12-16,88,B-,2000-04-30,18,Male,Janice Hansen,039-00-1039
79,Jeffery Taylor,"Unit 7048 Box 2464
DPO AA 26233",2023-12-08,39,A-,2004-09-10,28,Male,Bradley Porter,079-00-1079
69,Kara Ellis,"Unit 1052 Box 6491
DPO AP 41108",2023-03-10,71,B-,1992-08-24,11,Male,Andre Davis,069-00-1069
6,Lee Winters,"USCGC Castillo
FPO AA 87480",2023-02-08,40,A-,1987-10-18,4,Male,Scott Johnson,006-00-1006
51,Michele Morgan,"087 Christopher Neck
South Ryanside, HI 16477",2023-05-10,92,B+,1995-11-01,8,Female,Heidi Johnson,051-00-1051
93,Melissa Cooper,"9003 Hall Oval
Tonyton, MN 55030",2023-05-03,85,O-,1938-11-13,19,Male,Deborah Robertson,093-00-1093
57,Scott Hall,"283 Bridges Expressway Apt. 574
New Peterberg, RI 06203",2023-04-22,69,O+,1991-10-30,30,Female,Sheila Fitzgerald,057-00-1057
56,Brooke Mcgee,"8507 Jessica River Apt. 870
North Andrewbury, VT 90373",2023-01-18,29,B-,1946-05-07,25,Female,Nathan York,056-00-1056
61,James Cook,"7752 Jacob Ways
Port Dawn, CO 28583",2023-05-25,42,O+,1976-03-28,19,Female,Shirley Espinoza,061-00-1061
33,John Ross,"03664 Daniel Bypass
Robertchester, IA 94924",2023-01-07,8,A+,1950-05-17,22,Male,Kayla Gonzalez,033-00-1033
53,Timothy Callahan,"9688 Stephen Plains
East Lance, CO 31886",2023-09-17,19,O-,1953-10-22,14,Male,William Morris,053-00-1053
37,David Smith,"43645 Daniel Pike Suite 794
Robertborough, FM 99536",2023-11-25,32,O+,2002-04-16,26,Male,Linda Atkins,037-00-1037
30,Christy Villegas,"2866 Jackson Trafficway
South Williamborough, IL 59354",2023-10-27,41,AB+,1940-08-02,2,Female,Kayla Little,030-00-1030
28,Christine Jenkins,"48237 Edward Orchard Apt. 166
Moodystad, WV 72829",2023-03-18,25,O-,1946-12-16,17,Female,Daniel Blair,028-00-1028
38,Sandra Bennett,"634 Jermaine Drive Apt. 912
Marktown, TX 45205",2023-11-12,81,B+,1959-08-16,20,Female,Dalton Stewart,038-00-1038
67,Melissa Sawyer,"347 Denise Valleys Suite 814
South Kayla, ND 50323",2023-09-04,47,O+,1974-05-26,14,Male,Stephanie Harper,067-00-1067
20,William Simon,"611 Davidson Points
Michaelburgh, IL 82393",2023-05-10,93,A-,1951-09-17,20,Female,Anthony Patterson,020-00-1020
23,Michael Hinton,"302 Deborah Glen Apt. 441
South Lorimouth, AS 95230",2023-03-15,89,O+,1939-10-27,22,Female,Patricia Parker,023-00-1023
99,Eric Figueroa,"0277 Daniel Bridge
East Lawrence, MD 95554",2023-08-15,31,B+,1937-02-07,12,Male,Mark Ochoa,099-00-1099
95,Vanessa Tapia,"0854 Ramos Mountain Suite 251
New Chris, MS 41915",2023-09-10,16,A+,1974-04-02,14,Female,Leslie Collins,095-00-1095
42,Trevor Lynch,"PSC 5718, Box 7798
APO AA 78814",2023-03-26,7,B+,1940-01-17,20,Male,Amanda Knight,042-00-1042
49,James Davis,"351 Lisa Orchard Suite 369
Clintonside, MH 84967",2023-10-06,95,AB+,1951-11-07,13,Male,Kristen Snow,049-00-1049
76,Herbert Hernandez,"4155 Randy Bypass
West Jennifer, VI 62478",2023-01-14,15,AB+,1943-10-11,4,Male,Anne Alexander,076-00-1076
18,Connie Jones,"050 Silva Lakes Suite 414
West Susanberg, PR 65101",2023-04-07,66,AB-,1979-07-05,7,Male,Thomas Blackburn,018-00-1018
7,John Middleton PhD,"700 Amber Bypass Apt. 493
North Dominiqueborough, ID 29617",2023-05-11,67,B-,1948-11-30,4,Female,Pamela Torres,007-00-1007
1,Jonathan Beck,"91284 Omar Extension Apt. 099
Mitchellton, AL 77293",2023-05-26,91,AB-,1949-10-31,15,Female,Amber Merritt,001-00-1001
40,Michael Cruz,"1373 Johnson Park Suite 841
West Regina, NV 69163",2023-06-25,4,A+,1933-08-20,18,Male,Jason Nguyen,040-00-1040
86,Lindsey Goodman,"PSC 3070, Box 3319
APO AP 29127",2023-06-05,100,AB-,1973-07-01,27,Female,Susan Howard,086-00-1086
50,William Dickson,"977 Alicia Forge Apt. 598
Jessicaton, MN 34600",2023-01-17,96,A-,1936-09-13,5,Female,Robert Bruce,050-00-1050
26,Donald Davis,"1980 Anderson Fork
East Russell, HI 35973",2023-09-10,84,B-,1996-09-13,8,Female,Justin Rivers,026-00-1026
91,Zachary Pierce,"Unit 1145 Box 1720
DPO AA 12371",2023-09-11,55,O+,1987-05-05,26,Female,Mark Wilkins,091-00-1091
