physician_id,emp_id,name,specialty,type
12,30,Tara Harris,Orthopedics,Surgeon
22,80,Shelby Stanley,Cardiology,Surgeon
6,43,Lindsay Levine,Cardiology,Surgeon
1,3,Kevin Lopez,Cardiology,Physician
77,59,Michelle Floyd,Neurology,Surgeon
91,78,Victoria Wells,General Surgery,Physician
44,64,Jose White,Orthopedics,Surgeon
45,91,Michael Campbell,Cardiology,Surgeon
93,57,Jenny Reed MD,General Surgery,Physician
100,23,Dana Hill,Cardiology,Surgeon
9,18,Bethany Cummings,Cardiology,Physician
75,15,Isaiah Ford,Cardiology,Physician
2,5,Alicia Johnson,General Surgery,Surgeon
57,17,Cameron Taylor,Cardiology,Physician
58,79,Jonathan Lee,Cardiology,Physician
41,93,Frank Webster,Cardiology,Physician
11,58,Andrew Hughes,Neurology,Physician
96,1,Ronald Hardin,Cardiology,Surgeon
4,4,Alexis Torres,General Surgery,Surgeon
98,97,Chad Cruz,Orthopedics,Surgeon
86,36,Robert Carter,Orthopedics,Surgeon
67,34,Maria Carter,Orthopedics,Surgeon
72,19,Katie Lopez,Cardiology,Surgeon
7,89,Timothy Smith,Cardiology,Surgeon
33,7,Bruce Newman,Orthopedics,Physician
59,46,Dawn Stokes,Orthopedics,Physician
32,70,Lauren Mccarthy,General Surgery,Surgeon
20,49,Michael Robbins,General Surgery,Surgeon
35,90,Bobby Walker,Cardiology,Physician
31,22,Robert Novak,Cardiology,Surgeon
29,31,Anthony Martin,Neurology,Surgeon
97,83,David Jones,Orthopedics,Surgeon
80,76,Shelly Allen,Cardiology,Surgeon
69,72,Amanda Fisher,General Surgery,Physician
65,33,Kelsey Johnson,Orthopedics,Surgeon
43,10,Henry Wong,Cardiology,Physician
36,75,Dr. Michael Weaver Jr.,Neurology,Physician
81,41,Walter Lopez,Orthopedics,Physician
50,8,Edward James,Neurology,Physician
54,62,Jacqueline Quinn,Cardiology,Surgeon
17,73,Jessica Guzman,Neurology,Surgeon
3,47,Michael Daniels,Cardiology,Surgeon
73,38,Casey Nelson MD,Neurology,Surgeon
70,98,Mrs. Sarah Chandler MD,General Surgery,Physician
18,29,Frank Thomas,Cardiology,Surgeon
94,44,Michael Huerta,Neurology,Surgeon
83,24,Ashley Reynolds,Cardiology,Surgeon
64,6,Priscilla Lyons,Cardiology,Physician
53,55,Amanda Duarte,Orthopedics,Physician
28,9,Ryan Evans,Cardiology,Physician
10,39,Maria King,Cardiology,Surgeon
49,54,Tyrone Miller,Neurology,Physician
38,40,Sabrina Martin,General Surgery,Surgeon
51,61,Edward Campbell,Cardiology,Physician
60,95,Christina Owens,Neurology,Surgeon
56,42,Arthur Mcdowell,Neurology,Surgeon
16,84,Jessica Patrick,Neurology,Physician
90,45,Adam Morrison,General Surgery,Physician
99,2,Patricia Thomas,Neurology,Physician
24,63,Emma Ellison,Neurology,Surgeon
63,60,Christina Buchanan,Orthopedics,Physician
55,96,Tracy Lopez,Orthopedics,Surgeon
23,69,Scott Miranda,Neurology,Physician
71,35,Kara Pierce,General Surgery,Surgeon
92,37,Kelly Jackson,Orthopedics,Physician
84,99,Deborah Scott,General Surgery,Physician
46,87,Christopher Hernandez,General Surgery,Physician
66,68,Tyler Powell,Neurology,Physician
48,52,Melissa Mcmillan,Orthopedics,Physician
87,92,Shawn Jones,Neurology,Surgeon
42,11,Anthony Lawrence,Orthopedics,Physician
79,48,Laura Romero,General Surgery,Physician
74,27,Jill Carrillo,Orthopedics,Surgeon
34,21,Zachary Wilkinson,Neurology,Physician
40,50,Julie Sosa,Orthopedics,Physician
37,85,Melissa Stewart,Cardiology,Physician
78,28,Daniel Jackson,General Surgery,Physician
47,71,Meredith Sanchez,Cardiology,Physician
61,14,Christina Moreno,Orthopedics,Surgeon
52,32,Melanie Collins,Orthopedics,Physician
85,100,Emily Love,Neurology,Physician
27,94,Mary Gonzales,General Surgery,Surgeon
25,86,Nicholas Rivera,Neurology,Surgeon
26,12,Katelyn Campbell,General Surgery,Physician
62,81,Joshua Stewart,Cardiology,Physician
21,13,Donna Wiley,Orthopedics,Physician
8,82,Harry Guerrero,Orthopedics,Physician
68,67,Jennifer Perez,Cardiology,Surgeon
19,16,Kelly Jackson,Cardiology,Surgeon
15,56,Ryan Hoffman,Cardiology,Physician
89,66,Samantha Silva,Orthopedics,Surgeon
5,26,Cynthia Robinson,General Surgery,Surgeon
76,20,Jason Barnes,Cardiology,Physician
13,25,Phillip Chang,Cardiology,Physician
39,74,Samantha Porter,Orthopedics,Physician
82,51,Amy Clark,Cardiology,Physician
88,77,Brenda Reyes,Orthopedics,Surgeon
14,53,Stephen Patterson,Neurology,Surgeon
30,88,Timothy Parrish,Orthopedics,Physician
95,65,Ashley Phillips,Neurology,Surgeon
