nurse_id,emp_id,shift,shiftDate,surgerySkill_id,name,years,surgery_type
1,40,Morning,2024-01-07,4,Elizabeth Davis,3,4
2,77,Morning,2023-12-13,4,Lori Hammond,10,4
3,18,Afternoon,2023-12-19,7,Sarah Roberts,20,7
4,89,Night,2023-12-23,8,Julia Drake,7,8
5,36,Morning,2023-12-17,9,Brad May,8,9
6,100,Night,2023-12-29,10,Justin Pittman,29,10
7,66,Night,2024-01-11,1,David Evans,5,1
8,54,Morning,2023-12-23,2,Kevin Vargas,23,2
9,49,Morning,2023-12-16,5,Eric Mullins,28,5
10,46,Afternoon,2024-01-06,7,Kimberly Payne,25,7
11,64,Night,2023-12-21,8,Nicole Ingram,4,8
12,92,Morning,2024-01-04,2,Joseph Wolf,12,2
13,13,Morning,2024-01-03,7,Nicholas Adams,4,7
14,58,Afternoon,2024-01-08,2,Sarah Cervantes,17,2
15,16,Afternoon,2024-01-02,7,Danielle Griffin,21,7
16,10,Afternoon,2023-12-26,6,Carol Harrison,27,6
17,43,Afternoon,2024-01-03,8,Tanya Khan,9,8
18,51,Afternoon,2023-12-25,2,Lisa Parker,22,2
19,78,Morning,2023-12-25,1,Susan Garcia,29,1
20,21,Night,2023-12-21,3,Amanda Gardner,1,3
21,50,Morning,2024-01-02,9,Richard Fernandez,24,9
22,6,Afternoon,2023-12-25,10,David Deleon,29,10
23,69,Morning,2024-01-08,4,Mallory Leach,4,4
24,80,Afternoon,2023-12-30,8,Cameron James,15,8
25,34,Morning,2023-12-13,1,Jennifer Diaz,15,1
26,4,Afternoon,2023-12-29,10,Michael Gross,24,10
27,82,Afternoon,2023-12-20,9,Yolanda Smith MD,13,9
28,1,Afternoon,2024-01-09,2,James Cordova,24,2
29,25,Night,2024-01-06,6,Diane Yates,23,6
30,56,Afternoon,2024-01-06,1,Charlene Nelson,25,1
31,45,Night,2023-12-15,10,Brandon Williams,9,10
32,94,Night,2024-01-02,6,Heather Clark,23,6
33,62,Morning,2024-01-05,2,Tiffany Johnson,11,2
34,79,Morning,2023-12-13,5,Ryan Cook,20,5
35,42,Morning,2024-01-06,10,James Kelly,15,10
36,87,Night,2023-12-23,2,Dana Smith,29,2
37,24,Afternoon,2023-12-27,10,Emily Richardson,3,10
38,48,Morning,2023-12-22,8,Christopher Evans,5,8
39,22,Morning,2023-12-13,2,Sabrina Taylor,8,2
40,59,Afternoon,2023-12-31,9,Brad Allen,3,9
41,5,Night,2023-12-17,5,Robert Ibarra,16,5
42,3,Night,2023-12-21,2,Laura Martin,18,2
43,53,Morning,2023-12-15,6,Nathan Flores,22,6
44,12,Night,2024-01-03,3,Ivan Hartman,19,3
